ticker,fiscal_year,npl_ratio,capital_adequacy_ratio,cost_of_risk,cost_to_income,loan_growth_pct,deposit_growth_pct
KCB,2021,0.166,,,0.56,,
KCB,2022,0.17,0.181,,0.559,0.278,0.356
KCB,2023,0.17,0.174,0.204,0.707,,0.489
KCB,2024,0.198,,0.028,0.6,-0.096,-0.183
KCB,2025,0.162,,0.152,0.575,0.163,0.152
EQTY,2021,0.086,,,0.491,,
EQTY,2022,0.084,,,0.59,0.202,0.097
EQTY,2023,0.121,,0.193,0.714,0.256,0.291
EQTY,2024,0.136,,,0.687,,
EQTY,2025,0.113,0.205,,0.577,0.077,0.04
COOP,2021,0.146,,,0.63,0.082,0.139
COOP,2022,0.14,,,0.593,0.094,0.039
COOP,2023,0.162,,,,,0.066
COOP,2024,0.17,,,0.579,,
COOP,2025,0.115,,,0.566,0.126,0.134
NCBA,2021,0.16,0.191,0.052,0.681,,
NCBA,2022,0.13,0.184,0.047,0.622,0.143,0.07
NCBA,2023,0.12,0.18,0.027,,0.208,0.153
NCBA,2024,0.115,0.212,0.018,0.6,,
NCBA,2025,0.096,0.219,0.025,0.621,0.05,0.059
I&M,2021,0.095,0.215,0.02,0.599,0.124,0.188
I&M,2022,0.097,0.205,0.022,0.598,0.133,0.053
I&M,2023,0.107,0.189,0.022,,,0.334
I&M,2024,0.115,0.202,0.027,0.612,,
I&M,2025,0.0805,0.201,0.028,0.612,0.065,0.174
STANBIC,2021,0.093,,,0.509,0.168,0.021
STANBIC,2022,0.1,,,0.621,0.164,0.195
STANBIC,2023,0.095,,,,,0.173
STANBIC,2024,0.091,,,0.523,,
STANBIC,2025,0.055,,,0.509,0.172,0.195
DTB,2021,0.129,,,0.756,0.057,0.091
DTB,2022,0.12,,,0.691,0.151,0.169
DTB,2023,0.134,,,,0.216,0.254
DTB,2024,0.126,,,0.728,-0.075,-0.08
DTB,2025,0.157,,,0.701,0.136,0.138
ABSA,2021,0.079,,,0.579,,
ABSA,2022,0.075,,,0.547,0.211,0.13
ABSA,2023,0.099,,,0.566,,0.194
ABSA,2024,0.126,,,0.523,,
ABSA,2025,0.115,,,0.467,0.01,0.014
SCBK,2021,0.16,,,0.568,0.037,-0.061
SCBK,2022,0.142,,,0.497,0.107,0.051
SCBK,2023,0.097,,,,,0.229
SCBK,2024,0.074,0.196,0.047,0.443,-0.071,-0.138
SCBK,2025,0.222,0.204,0.047,0.602,0.018,-0.041
HF,2021,0.211,,,1.363,-0.062,-0.08
HF,2022,0.197,,0.064,0.916,0.046,0.055
HF,2023,0.231,,0.082,0.92,0.069,0.102
HF,2024,0.253,,,0.895,,
HF,2025,0.104,,,0.759,0.058,0.177
